화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,여성용-대변기수,화장실입구cctv설치유무,기저귀교환대장소,전화번호,개방시간
종합경기장 실내수영장 외부,제주특별자치도 제주시 서광로2길 24,제주특별자치도 제주시 오라일동 1165,N,2,2,Y,없음,064-728-3292,24시간
주경기장,제주특별자치도 제주시 서광로2길 24,제주특별자치도 제주시 오라일동 1165,N,31,91,N,없음,064-728-3299,연중
중앙로상점가 주차장한짓골,제주특별자치도 제주시 중앙로 85,제주특별자치도 제주시 이도일동 1469-2,N,3,6,N,없음,064-728-2825,24시간
중엄소공원,,제주특별자치도 제주시 애월읍 신엄리 961,N,1,2,N,없음,064-728-8883,24시간
지미봉주차장,,제주특별자치도 제주시 구좌읍 종달리 산 2,N,1,3,N,없음,064-728-7745,24시간
차귀섬,,제주특별자치도 제주시 한경면 고산리 산 34,Y,1,0,N,없음,064-728-7952,24시간
창흥동해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 1973,제주특별자치도 제주시 구좌읍 하도리 46-3,N,4,8,N,없음,064-728-7745,24시간
청수 곶자왈,,제주특별자치도 제주시 한경면 청수리 97,N,0,1,N,없음,064-728-7952,24시간
추석산,,제주특별자치도 제주시 추자면 신양리 산 20-2,N,1,1,N,없음,064-728-4282,24시간
추자교량,,제주특별자치도 제주시 추자면 영흥리 100-1,N,1,2,N,없음,064-728-4282,24시간
충혼묘지 화장실,,제주특별자치도 제주시 노형동 3825,N,2,2,N,없음,064-744-6456,24시간
칠성로 차없는 거리 공중화장실,제주특별자치도 제주시 임항로 8,제주특별자치도 제주시 삼도이동 1192-8,N,1,2,N,없음,064-728-4571,24시간
칠성로상점가(제주시 활성화구역내),제주특별자치도 제주시 관덕로13길 12,제주특별자치도 제주시 일도일동 1476-20,N,2,3,N,없음,064-728-2825,24시간
큰노꼬메오름주차장,,제주특별자치도 제주시 애월읍 소길리 산 255-4,N,2,3,N,없음,064-728-8883,24시간
탑동제1공원(이마트옆),제주특별자치도 제주시 탑동해안로 46,제주특별자치도 제주시 삼도이동 1256,N,2,4,Y,여자화장실,064-728-3605,24시간
탑동제2공원(공연장앞),제주특별자치도 제주시 중앙로 2,제주특별자치도 제주시 삼도이동 1262,N,4,10,Y,남자화장실+여자화장실,064-728-3605,24시간
톨칸이,,제주특별자치도 제주시 우도면 연평리 1723,N,1,2,N,없음,064-728-4342,24시간
팔각정 공원,,제주특별자치도 제주시 추자면 대서리 2-11,N,1,2,N,없음,064-728-4282,24시간
평대해수욕장,,제주특별자치도 제주시 구좌읍 평대리 1994-20,N,1,1,N,없음,064-728-7745,24시간
하가연하못옆,제주특별자치도 제주시 애월읍 하가로 182,제주특별자치도 제주시 애월읍 하가리 1359-2,N,1,1,N,없음,064-728-8883,24시간
하가연화못주차장,,제주특별자치도 제주시 애월읍 하가리 1569-5,N,1,2,N,없음,064-728-8883,24시간
하고수동 탈의장,,제주특별자치도 제주시 우도면 연평리 1185-5,N,3,3,N,없음,064-728-4353,24시간
하도별방진,,제주특별자치도 제주시 구좌읍 하도리 1768-1,N,1,1,N,없음,064-728-7745,24시간
하도어촌체험어장,,제주특별자치도 제주시 구좌읍 하도리 22-2,N,2,4,N,없음,064-728-7745,24시간
하우목동항,제주특별자치도 제주시 우도면 우도해안길 353,제주특별자치도 제주시 우도면 연평리 2391-1,N,3,5,N,없음,064-728-4353,12시간
하추자대합실,제주특별자치도 제주시 추자면 신양2길 28-8,제주특별자치도 제주시 추자면 신양리 434-1,N,3,4,N,없음,064-728-4282,여객선 개항시
한담공원,,제주특별자치도 제주시 애월읍 애월리 2461,N,1,2,N,없음,064-728-8883,24시간
한라씨름장,제주특별자치도 제주시 서광로2길 24,제주특별자치도 제주시 오라일동 1165,N,2,3,N,없음,064-728-3273,09:00~18:00
한라체육관,제주특별자치도 제주시 서광로2길 24,제주특별자치도 제주시 오라일동 1165,N,16,32,N,없음,064-728-3295,09:00~18:00
한림매일시장,,제주특별자치도 제주시 한림읍 한림리 1314-200,N,1,3,N,없음,064-728-7656,24시간
한림오일시장(남측),제주특별자치도 제주시 한림읍 한수풀로4길 10,제주특별자치도 제주시 한림읍 대림리 1705-4,N,4,7,N,없음,064-728-7656,24시간
한림오일시장(북측),,제주특별자치도 제주시 한림읍 대림리 1699,N,4,7,N,없음,064-728-7656,24시간
한림중앙상가(1층 동쪽),제주특별자치도 제주시 한림읍 한림북동길 2,제주특별자치도 제주시 한림읍 한림리 1315-5,N,3,6,N,없음,064-728-7656,24시간
한림중앙상가(1층 서쪽),제주특별자치도 제주시 한림읍 한림북동길 2,제주특별자치도 제주시 한림읍 한림리 1315-5,N,4,5,N,없음,064-728-7656,24시간
한림중앙상가(2층 동쪽),제주특별자치도 제주시 한림읍 한림북동길 2,제주특별자치도 제주시 한림읍 한림리 1315-5,N,3,6,N,없음,064-728-7656,24시간
한림중앙상가(2층서쪽),제주특별자치도 제주시 한림읍 한림북동길 2,제주특별자치도 제주시 한림읍 한림리 1315-5,N,4,5,N,없음,064-728-7656,24시간
한마음공원(곰솔곶화장실),,제주특별자치도 제주시 이도이동 1942-1,N,2,5,Y,남자화장실+여자화장실,064-728-3605,24시간
한장동,제주특별자치도 제주시 한경면 노을해안로 865,제주특별자치도 제주시 한경면 고산리 3855-8,N,1,3,N,없음,064-728-7952,24시간
함덕어촌정주어항,,제주특별자치도 제주시 조천읍 함덕리 3113-5,N,1,1,N,없음,064-728-8765,24시간
함덕오일시장,제주특별자치도 제주시 조천읍 함덕16길 15-13,제주특별자치도 제주시 조천읍 함덕리 972-7,N,2,2,N,없음,064-728-8765,"매월 1일,6일 장이 열리는 날"
항개해녀탈의장,,제주특별자치도 제주시 구좌읍 김녕리 4070-1,N,1,2,N,없음,064-728-7745,24시간
해녀박물관 축구장 옆 주차장,,제주특별자치도 제주시 구좌읍 하도리 3207,N,1,4,N,없음,064-728-7745,24시간
해신사,제주특별자치도 제주시 진북길 13-1,제주특별자치도 제주시 화북일동 1619-1,N,1,2,N,없음,064-728-8154,24시간
해안포구,제주특별자치도 제주시 금산5길 30-10,제주특별자치도 제주시 화북일동 4269-8,N,2,4,N,여자화장실,064-728-8154,24시간
현사어촌정주어항,제주특별자치도 제주시 테우해안로 143,제주특별자치도 제주시 이호일동 1788-6,N,1,2,N,없음,064-728-4935,24시간
협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,제주특별자치도 제주시 한림읍 협재리 2447,N,5,7,N,없음,064-728-7656,24시간
홍조단괴 탈의장,제주특별자치도 제주시 우도면 우도해안길 256,제주특별자치도 제주시 우도면 연평리 2512-3,N,2,5,N,없음,064-728-4353,24시간
횡간도1,,제주특별자치도 제주시 추자면 대서리 산 52,Y,0,1,N,없음,064-728-4282,24시간
횡간도2,제주특별자치도 제주시 추자면 횡간도길 51,제주특별자치도 제주시 추자면 대서리 산 98,Y,0,1,N,없음,064-728-4282,24시간
횡간도3,,제주특별자치도 제주시 추자면 대서리 산 87,Y,0,1,N,없음,064-728-4282,24시간
후포 해안변 공원,제주특별자치도 제주시 추자면 대서5길 87,제주특별자치도 제주시 추자면 대서리 267,N,1,2,N,없음,064-728-4282,24시간
휴양팬션,제주특별자치도 제주시 추자면 석두리길 4,제주특별자치도 제주시 추자면 신양리 874-11,N,1,2,N,없음,064-728-4282,24시간
